adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,tmdb_keywords,production_countries,year,month,day,decade,LLM_Raw_Response
False,,"[10749, 27, 14]",318631,tl,Satur,"Cristina, a pretty young neighborhood girl, is pursued by the mysterious Satur, a wealthy but mysterious young man. Cristina, however, is engaged to Sendong, a young farmer. When Cristina's mother is taken suddenly ill and there appears to be no hope of recovery, Satur says that can cure her in exchange for Cristina being promised to him. Desperate, Cristina agrees and her mother pulls through. Cristina and Sendong soon find out that she may have well made a deal with the devil.",1.9103,,1951-01-01,Satur,False,0.0,0,"philippines, faustian pact",Philippines,1951,1,1,1950,"Based on the title, overview, and keywords, I would classify the movie ""Satur"" under **Transgression & Moral Punishment**.

The film appears to be inspired by the classic Faustian tale, where a protagonist makes a deal with a mysterious figure (in this case, Satur) in exchange for something they desire. The consequences of this pact lead to moral and supernatural repercussions, which is a hallmark of the Transgression & Moral Punishment category.

The themes of desperation, temptation, and the blurring of moral lines are all present in ""Satur"", suggesting that the film's horror stems from Cristina's transgressive actions and the subsequent moral punishment she faces. The use of Filipino culture and setting adds an interesting layer to the story, but ultimately, the core fear driving the narrative is one of moral transgression and its consequences."
False,,"[27, 9648, 18]",162326,fr,Isabelle aux Dombes,"Pialat's first film was the short Isabelle aux Dombes, shot in 1951 when the director was 26 years old. The film is an entirely silent montage of documentary footage, ragged experimental techniques — mainly some negative-image inserts — and symbolic psychodrama that's surprisingly not too different from the work that Stan Brakhage would begin making just a year or two later. Images of death proliferate throughout the film, and what started as a loose documentary soon becomes an eerie psuedo-horror piece that's obsessed with death and decay.",0.0239,/w3wf6vHudTGY4Qy9hlQMqATqMJJ.jpg,1951-01-01,Isabelle aux Dombes,False,5.4,5,"silent film, short film",France,1951,1,1,1950,"Based on the title, overview, and keywords, I would classify ""Isabelle aux Dombes"" under **Isolation & Psychological Unraveling**.

The film is described as a silent montage of documentary footage, experimental techniques, and symbolic psychodrama that explores themes of death, decay, and mortality. The use of negative-image inserts and the overall eerie atmosphere suggest a sense of disconnection and isolation from reality. The fact that the film is entirely silent adds to the sense of detachment and disorientation.

While there may be elements of horror or unease present in the film, the primary fear driving the narrative appears to be the protagonist's (Isabelle) emotional and psychological disintegration as she confronts death and decay. This fear is rooted in her isolation from others and her inability to connect with the world around her.

Overall, ""Isabelle aux Dombes"" seems to be a film that explores the darker aspects of human experience through the lens of isolation and psychological unraveling, making **Isolation & Psychological Unraveling** the most fitting fear category."
False,,[27],439160,ja,鉄の爪,During the war a man is bitten by a creature which looks like a cross between a bear and an ape in the jungle. Later he starts to transform to a monster like creature who kills with his claw like fingers.,2.7013,/OGv2ak9jah0H7zFNl2UkLXjEMb.jpg,1951-02-24,Claws of Iron,False,0.0,0,tokusatsu,Japan,1951,2,24,1950,"Based on the title, overview, and keywords, I would classify ""Claws of Iron"" under **Body Horror**.

The fear at the core of this film appears to be the transformation of a human into a monster-like creature, driven by a physical change caused by an external agent (the bite from the creature). This transformation compromises the body's boundaries and leads to violent behavior. The use of the term ""tokusatsu"" suggests that the film may have elements of Japanese monster movies or kaiju films, which often feature bodily transformations and monstrous creatures.

While there might be some invasion or paranoia elements present in the film, the primary fear seems to be the loss of human identity and the physical transformation into a creature driven by primal instincts."
False,,"[9648, 53, 27]",545795,bn,জিঘাংসা,"The movie revolves around the unwanted incidents that happened in the princely state of Ratnagarh. After the murder of King Chandrakanta, one Dr. Palit (Kamal Mitra) asked for help from one Detective Smarajit Sen (Sisir Batabyal), as a family friend. Detective Sen sent his assistant Bimal to Ratnagarh to investigate and ascertain the security of young Kumar Bahadur, a new predecessor of the royal family of the estate. They observed that a mysterious lady Manjusri (Manju De) sang an uncanny song in the adjacent water body near the palace. Mr. Gupta (Bikash Roy), a suspicious botanist who stayed in the neighborhood also roamed in that locality. It revealed that he was deprived of the real property of the royal family and took revenge by killing the members of the family. He used one deaf and dumb porter as a hired killer. Ultimately, he was killed by the detective at the end before he could commit another murder.",1.7925,/gTSc9YwUR0R3u73999MFq1WnDLK.jpg,1951-04-20,Jighangsa,False,0.0,0,,India,1951,4,20,1950,"Based on the title, overview, and keywords, I would classify the movie ""Jighangsa"" under **Institutional & Structural Control**.

The fear that drives the horror in this film is the manipulation of power structures and the exploitation of social hierarchies. The botanist, Mr. Gupta, uses his knowledge to take revenge on the royal family by killing its members, highlighting the theme of structural control and exploitation. The detective's investigation and ultimate defeat of Mr. Gupta also underscores the struggle against institutional power.

While there are elements of invasion and paranoia (the mysterious lady Manjusri singing an uncanny song), these can be seen as symptoms of a larger issue with the power structures in place, rather than the primary fear driving the horror."
False,,"[10770, 27]",1565218,en,The Lost Will of Dr. Rant,"An anxious old man who is searching for a rare edition of the Talmud finally tracks the tome down at a research library in Boston. But before he can get his hands on it, a hideous apparition intervenes.",0.0214,/w4Psy4AoB7O9QxzADquHl19LwLt.jpg,1951-05-07,The Lost Will of Dr. Rant,False,0.0,0,,United States of America,1951,5,7,1950,"Based on the title, overview, and keywords, I would classify ""The Lost Will of Dr. Rant"" under **Possession & Loss of Agency**.

The fear at the core of this film appears to be the old man's loss of control over his own mind and body as he is confronted by a hideous apparition. This possession or invasion seems to be the primary source of horror, rather than an external threat or systemic control.

While there may be elements of isolation and psychological unraveling present in the story, the central fear appears to be the old man's loss of agency and his struggle against the supernatural force that is driving him mad."
False,/g0aRpwk00jYjLWazBYWCr3O8lxY.jpg,"[16, 27]",434071,en,Flop Secret,"Litle Rocquefort, the mouse named after a cheese, is reading a horror book to his cat pal. A Dr. Jekyll/Mr.Hyde-type character is mixing his evil potion, and needs the tail of a black cat and chooses the one on Roquefort's buddy. The mouse comes to his rescue, and when Dr. Silvana ropes the cat's tail, Roquefort uses his tail to make an electrical short-circuit. After a few more harrowing chases, the mouse finally rescues the cat. The cat's finale act if to make Little Roquefort eat the book.",10.9704,/5ZKhLkpJtzkHQzcDVDSRpIkRTIY.jpg,1951-09-12,Flop Secret,False,0.0,0,,United States of America,1951,9,12,1950,"Based on the title, overview, and keywords, I would classify ""Flop Secret"" under **Captivity & Voyeuristic Sadism**.

The primary fear in this film appears to be the intentional captivity and deliberate cruelty inflicted upon the cat by Dr. Silvana, who is seeking to use its tail for his evil potion. The mouse's subsequent rescue efforts and the cat's eventual revenge on Little Roquefort by making him eat the horror book suggest a theme of imprisonment and sadistic manipulation.

While there may be elements of invasion or possession present in the story, the core fear driving the horror sequences is the intentional captivity and coercion inflicted upon the cat, which aligns with the **Captivity & Voyeuristic Sadism** category."
False,/ajIlR0mN5Cd1PVA2g6VEBZdGeqn.jpg,[27],22856,en,Bride of the Gorilla,"The owner of a plantation in the jungle marries a beautiful woman. Shortly afterward, he is plagued by a strange voodoo curse which transforms him into a gorilla. But is his transformation real or is it all in his head?",1.1574,/5sk3yl6zhpQptkqu0eqiqHSox7L.jpg,1951-10-01,Bride of the Gorilla,False,4.757,35,"witch, snake, gorilla, voodoo, transformation, black magic, jungle, curse, snake bite",United States of America,1951,10,1,1950,"Based on the title, overview, and keywords, I would classify ""Bride of the Gorilla"" under **Possession & Loss of Agency**.

The film's premise revolves around a man who is transformed into a gorilla due to a voodoo curse, which raises questions about his agency and control over his own body. The uncertainty between whether the transformation is real or just a product of his mind adds to the sense of possession and loss of agency.

While there are elements of captivity and confinement in the film, the primary fear driving the horror is not intentional cruelty or sadism but rather the loss of control and autonomy due to external forces (the voodoo curse)."
False,,"[27, 9648, 14]",1151479,th,วิญญาณรักของนางนาค,"On Songkran Day in Phra Khanong Sub-district, during which young people were participating in the festivities. But in the corner, Mak and Nak, the beautiful girls of the Prakanong field, were in love with each other on the straw.. Make an appointment for sure that young people get married in the ninth month, with the condition that the village headman helps to be a matchmaker to arrange for him to fall in love with Nak.",0.0071,/2sa8C8I3yPmnnyw0RVZgQazWMe1.jpg,1951-10-27,The Love Spirit of Nang Nak,False,0.0,0,,Thailand,1951,10,27,1950,"Based on the title, overview, and keywords, I would classify ""The Love Spirit of Nang Nak"" under **Grief & Familial Trauma**.

The film appears to be a romantic horror story that revolves around the tragic love between two women, Mak and Nak. The fact that they are in love with each other on the straw suggests a deep emotional connection, which is likely to be disrupted by some kind of tragedy or loss. Given the cultural context of Songkran Day and the village headman's involvement, I suspect that the film will explore themes of grief, family trauma, and possibly even curses or hauntings.

The title itself, ""The Love Spirit of Nang Nak"", suggests a strong emotional connection between the two women, which is often a hallmark of films classified under Grief & Familial Trauma. The use of ""Nang Nak"" as a proper noun also implies that this film may be drawing inspiration from Thai folklore or mythology, which further supports this classification.

Overall, I believe that the primary fear at the core of this film is the loss and longing that arises from unrequited love, which is a classic theme in Grief & Familial Trauma horror films."
False,/fSvJMAOiZdIBalsXo287Jqfreyn.jpg,"[80, 27, 10749, 878]",115609,en,The Son of Dr. Jekyll,The son of the notorious Dr. Henry Jekyll is determined to prove that his father's reputation has been unjustly deserved. He sets out to develop his father's formula in order to prove that he was a brilliant scientist rather than a murderous monster.,1.7992,/7FP9FwucgIzWpEgpmtEZy5KWcDh.jpg,1951-10-31,The Son of Dr. Jekyll,False,4.0,9,jekyll and hyde,United States of America,1951,10,31,1950,"Based on the title, overview, and keywords, I would classify ""The Son of Dr. Jekyll"" under **Possession & Loss of Agency**.

The fear at the core of this film is likely the fear of losing control of one's mind or body to a supernatural force, which is a classic theme in horror movies. The story revolves around the son of Dr. Henry Jekyll trying to prove his father's innocence and developing his formula, which suggests that there may be a transformation or possession involved.

The keywords ""Jekyll and Hyde"" also hint at the idea of dual identities and the blurring of lines between good and evil, which is another common theme in horror movies. Overall, I believe that the primary fear driving this film is the fear of losing control to a supernatural force, making **Possession & Loss of Agency** the most fitting category."
False,,"[9648, 27]",1288150,hi,मोती महल,"In the hilly state of Champa Nagar, the magnificent castle of Rai Saheb Motisagar called ""MOTI MAHAL"" stands there even today in all its regal glory. Our story springs from this historical palace whose ghastly memories make people shiver with fear even now. After Rai Saheb's sudden demise the rumour got currency that his restless spirit still hovered about the palace. Though nobody had any proof in support of this, but subsequent incidents gave substance to it. Just two days after his death, as his maid servant was bringing his only Son SUDHIR to Champa Nagar by train the child disappeared on the way. Hardly could the shock of this news subside, when one stormy night his nephew Jugal and sister's son Shekhar came together to  ""MOTI MAHAL"" to hear the WILL from Vakil. But Lo! the Vakil himself vanished and his dead body was picked up in the palace-compound, sometime later.",1.9204,/f0owiyaTcfUHklABbMIOif2zpAq.jpg,1952-01-01,Moti Mahal,False,0.0,0,,India,1952,1,1,1950,"Based on the title, overview, and keywords, I would classify the movie ""Moti Mahal"" under **Institutional & Structural Control**.

The fear at the core of this film appears to be the manipulation and control exerted by the palace's systems and hierarchies. The sudden disappearance of Sudhir, followed by the mysterious vanishing of the Vakil, suggests that there is a larger structural issue at play, rather than a single villain or external invader.

The use of words like ""rumour"", ""ghastly memories"", and ""subsequent incidents"" implies that the palace itself holds some kind of dark power or influence over those who enter it. This fear of systemic domination and engineered loss of agency is characteristic of the **Institutional & Structural Control** category.

Additionally, the fact that the story revolves around a will being read and the disappearance of key characters suggests that there may be a larger web of control and manipulation at play, which further supports this classification."
False,,"[27, 878, 10770]",1223291,en,Frankenstein,"Dr. Victor Frankenstein, working in a castle on a remote Swiss island, attempts to create a perfect man but his resultant creation turns out to be a murderous beast who must be destroyed.",0.1036,/e284iS7CKAPt9HcVyWhMpVFnIyB.jpg,1952-01-18,Frankenstein,False,10.0,2,,,1952,1,18,1950,"Based on the title, overview, and keywords, I would classify ""Frankenstein"" under **Body Horror**. The fear at the core of this film is the bodily invasion and transformation caused by Dr. Frankenstein's creation, which compromises the body's boundaries. The horror stems from the involuntary metamorphosis of a human-like creature into a monstrous being, which is a classic example of Body Horror.

While there are themes of creation, responsibility, and the dangers of playing God, these elements do not primarily drive the fear in this film. Instead, it is the physical transformation and the consequences that follow that create the sense of horror and unease."
False,,"[18, 10749, 27]",1377064,cn,烛影照魂归,"As the wealthy Ha Mung Shan nears death, he asks his son, Chung Ping, to marry his fiancée, Ng Yuk Keng. However, Yuk Keng loves Chung Ping’s brother, Bo Ming. To avoid upsetting his father, Chung Ping pretends that a singer, Su Qiu, is Yuk Keng and brings her home. Meanwhile, Yuk Keng’s aunt, Xing Hong, covets her father’s inheritance and attempts to kill Su Qiu, framing Chung Ping. Su Qiu survives, cared for by the Fu family. Later, Xing Hong kills Yuk Keng to live with Bo Ming, but he refuses. Taking the inheritance, Xing Hong stays with the Fu family and regrets her actions. Ha Mung Shan then arranges a new marriage for Chung Ping. Su Qiu, seeking revenge, disguises herself as a ghost on the wedding night, exposing the truth. Bo Ming confronts Chung Ping, and Xing Hong confesses her guilt. Mung Shan realizes Bo Ming is his son, and Chung Ping reunites with Su Qiu, leading to a happy ending.",4.8968,/6JKBXXTrhJvaNJLNoOQlKZ7DluY.jpg,1952-05-01,The Resentful Woman Returns,False,0.0,0,,Hong Kong,1952,5,1,1950,"Based on the title, overview, and keywords, I would classify ""The Resentful Woman Returns"" under **Grief & Familial Trauma**.

The primary fear at the core of this film is the emotional trauma caused by family secrets, deception, and betrayal. The story revolves around the consequences of Ha Mung Shan's deathbed wish, which leads to a series of events that cause grief, guilt, and regret among the characters. The film explores themes of family legacy, inheritance, and the consequences of one's actions.

While there are elements of possession (Su Qiu disguising herself as a ghost) and revenge, these plot points serve to reveal the truth and bring about resolution rather than being the primary source of fear. The true horror lies in the emotional toll taken by the characters' decisions and the consequences they face.

Therefore, I believe that **Grief & Familial Trauma** is the most fitting category for this film."
False,,"[18, 27]",1088454,en,Uncle Cankle da Ƙwallon Rawa,"A film following the elderly Cankle Chiyembekezo, a once skilled dancer suffering from undiagnosed arthritis. Unable to cope with his rapid deterioration, Cankle shuts himself off from the world.  The majority of the film was destroyed in a bombing raid during the Sudanese civil war, only 12 minutes of footage remain.",0.0071,/rfPHjeUjw7mbPvsgUrxwKpQa7eR.jpg,1952-05-18,Uncle Cankle and the Dancing Ankle,False,0.0,0,"depression, sad, psychological horror",Sudan,1952,5,18,1950,"Based on the title, overview, and keywords, I would classify ""Uncle Cankle and the Dancing Ankle"" under **Isolation & Psychological Unraveling**.

The film's focus on Uncle Cankle's isolation and inability to cope with his physical deterioration due to undiagnosed arthritis suggests that the horror stems from being cut off - physically, socially, or existentially. The fact that the majority of the film was destroyed in a bombing raid during the Sudanese civil war adds to the sense of isolation and disconnection.

The keywords ""depression"", ""sad"", and ""psychological horror"" also support this classification, as they indicate that the film's primary fear is not an external threat or invasion, but rather the gradual erosion of Uncle Cankle's mental state due to his isolation and despair."
False,,[27],1266796,tl,Sandino,"The story is about two twin, separated at birth, one a mysterious young man named Sandino (played by Danilo Montes) who transforms into a monstrous hairy creature resembling a wolf man.",1.24,/s2FEmIPO5YTwAKTvFnMNH6hlDUr.jpg,1952-06-30,Sandino,False,0.0,0,,Philippines,1952,6,30,1950,"Based on the title, overview, and keywords, I would classify the movie ""Sandino"" under **Body Horror**.

The fear at the core of this film appears to be the transformation of Sandino's body into a monstrous hairy creature resembling a wolf man. This bodily invasion and metamorphosis compromise his physical boundaries, which is a hallmark of Body Horror. The fact that this transformation is self-inflicted or inflicted by an unknown force (as opposed to infection or contagion) further supports this classification.

While there may be elements of Invasion & Paranoia or Possession & Loss of Agency present in the film, the primary fear driving the horror appears to be the bodily transformation and its consequences, making Body Horror the most fitting category."
False,/mss47O8HsWwGIl4vDzldE4pFUfX.jpg,"[35, 27]",59270,en,Mother Riley Meets the Vampire,"The legendary Bela Lugosi as ""the Vampire"" teams up with Britain's much-loved ""Mother Riley"" in this hilarious comedy adventure. The Vampire plans to control the world with the help of his robot, which accidentally gets shipped to Mother Riley. Through radar control, he contacts the robot and orders it to come to him, bringing along Mother Riley! But his life is turned upside down when he holds this most meddling of mothers captive.",1.1563,/vRaLE08UxZOlIPkpiDFAjtl4Vgc.jpg,1952-07-11,Mother Riley Meets the Vampire,False,4.2,21,vampire,United Kingdom,1952,7,11,1950,"Based on the title, overview, and keywords, I would classify ""Mother Riley Meets the Vampire"" under **Captivity & Voyeuristic Sadism**.

The primary fear in this film appears to be the comedic misadventures of Mother Riley being held captive by the vampire, with the added twist of her meddling nature causing chaos. The vampire's attempts to control the world through his robot and subsequent capture of Mother Riley create a humorous dynamic that drives the horror-comedy plot.

While there is an element of supernatural threat (the vampire), it is not the primary source of fear or tension in the film. Instead, the focus is on the comedic consequences of Mother Riley's captivity and the vampire's attempts to control her."
