adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,tmdb_keywords,production_countries,year,month,day,decade,LLM_Raw_Response,Fear_Category
False,,"[10749, 27, 14]",318631,tl,Satur,"Cristina, a pretty young neighborhood girl, is pursued by the mysterious Satur, a wealthy but mysterious young man. Cristina, however, is engaged to Sendong, a young farmer. When Cristina's mother is taken suddenly ill and there appears to be no hope of recovery, Satur says that can cure her in exchange for Cristina being promised to him. Desperate, Cristina agrees and her mother pulls through. Cristina and Sendong soon find out that she may have well made a deal with the devil.",1.7655,,1951-01-01,Satur,False,0.0,0,"philippines, faustian pact",Philippines,1951,1,1,1950,"Based on the title, overview, and keywords, I would classify the movie ""Satur"" under **Institutional & Structural Control**.

The fear at the core of this film appears to be the manipulation and control exerted by Satur, a wealthy and mysterious young man who seems to have supernatural powers. Cristina is forced to make a Faustian pact with him in exchange for her mother's life, which highlights the theme of systemic domination and engineered loss of agency.

While there may be elements of possession or demonic influence, the primary fear driving the horror sequences appears to be the control exerted by Satur and the consequences that Cristina faces as a result of her deal. This classification fits best because it captures the essence of the film's premise, which revolves around the exploitation of power systems and the manipulation of individuals within them.",Institutional & Structural Control
False,,"[27, 9648, 18]",162326,fr,Isabelle aux Dombes,"Pialat's first film was the short Isabelle aux Dombes, shot in 1951 when the director was 26 years old. The film is an entirely silent montage of documentary footage, ragged experimental techniques — mainly some negative-image inserts — and symbolic psychodrama that's surprisingly not too different from the work that Stan Brakhage would begin making just a year or two later. Images of death proliferate throughout the film, and what started as a loose documentary soon becomes an eerie psuedo-horror piece that's obsessed with death and decay.",0.0496,https://image.tmdb.org/t/p/original/w3wf6vHudTGY4Qy9hlQMqATqMJJ.jpg,1951-01-01,Isabelle aux Dombes,False,5.4,5,"silent film, short film",France,1951,1,1,1950,"Based on the title, overview, and keywords, I would classify ""Isabelle aux Dombes"" under **Isolation & Psychological Unraveling**.

The film is described as a silent montage of documentary footage, experimental techniques, and symbolic psychodrama that explores themes of death and decay. The use of negative-image inserts and the overall eerie atmosphere suggest a sense of disconnection and isolation, which are key elements of this fear category. The film's focus on mortality and the blurring of reality and fantasy also contribute to an unsettling and psychologically unnerving experience.

While there may be some elements of **Body Horror** or **Ecological / Natural Menace**, I believe that the primary fear at play in ""Isabelle aux Dombes"" is the sense of isolation and disconnection from the world, which drives the psychological unease and horror.",Isolation & Psychological Unraveling
False,,[27],439160,ja,鉄の爪,During the war a man is bitten by a creature which looks like a cross between a bear and an ape in the jungle. Later he starts to transform to a monster like creature who kills with his claw like fingers.,2.2261,https://image.tmdb.org/t/p/original/OGv2ak9jah0H7zFNl2UkLXjEMb.jpg,1951-02-24,Claws of Iron,False,0.0,0,tokusatsu,Japan,1951,2,24,1950,"Based on the title, overview, and keywords, I would classify ""Claws of Iron"" under **Body Horror**.

The film appears to be about a man who is bitten by a creature that transforms him into a monster-like being with claw-like fingers. This transformation is likely to be a physical invasion and metamorphosis that compromises the protagonist's bodily boundaries, which is the primary characteristic of Body Horror.

Tokusatsu, as mentioned in the keywords, refers to Japanese live-action superhero films or TV shows, often featuring monsters or creatures. Given this context, it seems that ""Claws of Iron"" might be a tokusatsu film with a focus on body horror elements, making **Body Horror** the most fitting fear category for this movie.",Body Horror
False,,"[9648, 53, 27]",545795,bn,জিঘাংসা,"The movie revolves around the unwanted incidents that happened in the princely state of Ratnagarh. After the murder of King Chandrakanta, one Dr. Palit (Kamal Mitra) asked for help from one Detective Smarajit Sen (Sisir Batabyal), as a family friend. Detective Sen sent his assistant Bimal to Ratnagarh to investigate and ascertain the security of young Kumar Bahadur, a new predecessor of the royal family of the estate. They observed that a mysterious lady Manjusri (Manju De) sang an uncanny song in the adjacent water body near the palace. Mr. Gupta (Bikash Roy), a suspicious botanist who stayed in the neighborhood also roamed in that locality. It revealed that he was deprived of the real property of the royal family and took revenge by killing the members of the family. He used one deaf and dumb porter as a hired killer. Ultimately, he was killed by the detective at the end before he could commit another murder.",0.4265,https://image.tmdb.org/t/p/original/gTSc9YwUR0R3u73999MFq1WnDLK.jpg,1951-04-20,Jighangsa,False,0.0,0,,India,1951,4,20,1950,"Based on the title, overview, and keywords, I would classify the movie ""Jighangsa"" under **Institutional & Structural Control**.

The fear in this movie stems from the manipulation of power systems and hierarchies, specifically the royal family's estate and its security. The mysterious lady Manjusri's song and Mr. Gupta's botany expertise seem to be connected to the investigation and the uncovering of a larger conspiracy. The detective's role is crucial in exposing the truth and bringing justice to the victims.

The movie appears to explore themes of power, privilege, and social control, which are characteristic of the Institutional & Structural Control fear category.",Institutional & Structural Control
False,,"[10770, 27]",1565218,en,The Lost Will of Dr. Rant,"An anxious old man who is searching for a rare edition of the Talmud finally tracks the tome down at a research library in Boston. But before he can get his hands on it, a hideous apparition intervenes.",0.0777,https://image.tmdb.org/t/p/original/w4Psy4AoB7O9QxzADquHl19LwLt.jpg,1951-05-07,The Lost Will of Dr. Rant,False,0.0,0,,United States of America,1951,5,7,1950,"Based on the title, overview, and keywords, I would classify ""The Lost Will of Dr. Rant"" under **Possession & Loss of Agency**.

The film appears to revolve around an old man's quest for a rare book, which is interrupted by a supernatural entity. This suggests that the horror stems from the loss of agency and control as the protagonist becomes possessed or influenced by this external force. The fact that the apparition is described as ""hideous"" implies a sense of malevolent presence, further supporting the Possession category.

While there may be elements of isolation or psychological unraveling present in the film, the primary fear seems to be the loss of control and agency due to supernatural possession, which aligns with the Possession & Loss of Agency category.",Possession & Loss of Agency
False,/g0aRpwk00jYjLWazBYWCr3O8lxY.jpg,"[16, 27]",434071,en,Flop Secret,"Litle Rocquefort, the mouse named after a cheese, is reading a horror book to his cat pal. A Dr. Jekyll/Mr.Hyde-type character is mixing his evil potion, and needs the tail of a black cat and chooses the one on Roquefort's buddy. The mouse comes to his rescue, and when Dr. Silvana ropes the cat's tail, Roquefort uses his tail to make an electrical short-circuit. After a few more harrowing chases, the mouse finally rescues the cat. The cat's finale act if to make Little Roquefort eat the book.",0.0286,https://image.tmdb.org/t/p/original/5ZKhLkpJtzkHQzcDVDSRpIkRTIY.jpg,1951-09-12,Flop Secret,False,0.0,0,,United States of America,1951,9,12,1950,"Based on the title, overview, and keywords, I would classify ""Flop Secret"" under **Invasion & Paranoia** (Category 1).

The primary fear at the core of this film appears to be the invasion of Little Roquefort's world by an external presence - Dr. Silvana, who is mixing an evil potion and needs the tail of a black cat. The mouse must then navigate a series of harrowing chases to rescue his feline friend.

While there may be elements of captivity and voyeuristic sadism (Category 5) in the film's depiction of Roquefort's rescues, the primary fear is not the intentional, sadistic captor but rather the external invasion and paranoia that drives the plot.",Invasion & Paranoia
False,/ajIlR0mN5Cd1PVA2g6VEBZdGeqn.jpg,[27],22856,en,Bride of the Gorilla,"The owner of a plantation in the jungle marries a beautiful woman. Shortly afterward, he is plagued by a strange voodoo curse which transforms him into a gorilla. But is his transformation real or is it all in his head?",1.1761,https://image.tmdb.org/t/p/original/5sk3yl6zhpQptkqu0eqiqHSox7L.jpg,1951-10-01,Bride of the Gorilla,False,4.757,35,"witch, snake, gorilla, voodoo, transformation, black magic, jungle, curse, snake bite",United States of America,1951,10,1,1950,"Based on the title, overview, and keywords, I would classify ""Bride of the Gorilla"" under **Possession & Loss of Agency**.

The film's premise suggests that the protagonist is plagued by a voodoo curse that transforms him into a gorilla, raising questions about his agency and control over his own body. The ambiguity between reality and delusion adds to the sense of possession, as the character's perception of himself becomes distorted. This fear category captures the primary concern of losing control of one's mind or body to an external force, which is at the core of this film's horror.

While there are elements of transformation and captivity present in the movie, they are secondary to the central theme of possession and loss of agency.",Possession & Loss of Agency
False,,"[27, 9648, 14]",1151479,th,วิญญาณรักของนางนาค,"On Songkran Day in Phra Khanong Sub-district, during which young people were participating in the festivities. But in the corner, Mak and Nak, the beautiful girls of the Prakanong field, were in love with each other on the straw.. Make an appointment for sure that young people get married in the ninth month, with the condition that the village headman helps to be a matchmaker to arrange for him to fall in love with Nak.",0.0,https://image.tmdb.org/t/p/original/2sa8C8I3yPmnnyw0RVZgQazWMe1.jpg,1951-10-27,The Love Spirit of Nang Nak,False,0.0,0,,Thailand,1951,10,27,1950,"Based on the title and overview of ""The Love Spirit of Nang Nak"", I would classify this movie under **Grief & Familial Trauma**.

The story appears to revolve around the tragic love between two girls, Mak and Nak, which is likely to be a central theme in Thai folklore. The fact that they are from different social classes and have an arranged marriage planned for them suggests that their love is doomed, leading to a sense of loss and grief.

As a horror film, ""The Love Spirit of Nang Nak"" likely explores the consequences of this unrequited love, possibly involving supernatural elements or haunting. The title itself implies a connection to the spirit world, which further supports the classification under Grief & Familial Trauma.

In this category, I would expect the horror to arise from the emotional pain and longing of the characters, rather than an external threat or invasion.",Grief & Familial Trauma
False,/fSvJMAOiZdIBalsXo287Jqfreyn.jpg,"[80, 27, 10749, 878]",115609,en,The Son of Dr. Jekyll,The son of the notorious Dr. Henry Jekyll is determined to prove that his father's reputation has been unjustly deserved. He sets out to develop his father's formula in order to prove that he was a brilliant scientist rather than a murderous monster.,2.5342,https://image.tmdb.org/t/p/original/7FP9FwucgIzWpEgpmtEZy5KWcDh.jpg,1951-10-31,The Son of Dr. Jekyll,False,4.0,9,jekyll and hyde,United States of America,1951,10,31,1950,"Based on the title, overview, and keywords, I would classify ""The Son of Dr. Jekyll"" under **Possession & Loss of Agency**.

The fear at the core of this film appears to be the son's struggle with his father's dark legacy and the potential for him to succumb to the same monstrous impulses that drove Dr. Jekyll. The story revolves around the son's attempt to redeem his father's reputation by replicating his formula, which suggests a fear of losing control of one's mind or body to a supernatural force.

This classification fits better than **Institutional & Structural Control**, as there is no indication of systemic exploitation or manipulation driving the horror. Similarly, **Captivity & Voyeuristic Sadism** and **Ecological / Natural Menace** are not applicable, as there is no intentional captor or non-sentient threat present.

The other categories (**Invasion & Paranoia**, **Persecution & Social Breakdown**, **Contagion & Mutation**, **Body Horror**, **Isolation & Psychological Unraveling**, **Grief & Familial Trauma**, and **Transgression & Moral Punishment**) do not seem to be directly relevant to the film's premise.",Possession & Loss of Agency
False,,"[9648, 27]",1288150,hi,मोती महल,"In the hilly state of Champa Nagar, the magnificent castle of Rai Saheb Motisagar called ""MOTI MAHAL"" stands there even today in all its regal glory. Our story springs from this historical palace whose ghastly memories make people shiver with fear even now. After Rai Saheb's sudden demise the rumour got currency that his restless spirit still hovered about the palace. Though nobody had any proof in support of this, but subsequent incidents gave substance to it. Just two days after his death, as his maid servant was bringing his only Son SUDHIR to Champa Nagar by train the child disappeared on the way. Hardly could the shock of this news subside, when one stormy night his nephew Jugal and sister's son Shekhar came together to  ""MOTI MAHAL"" to hear the WILL from Vakil. But Lo! the Vakil himself vanished and his dead body was picked up in the palace-compound, sometime later.",1.3515,https://image.tmdb.org/t/p/original/f0owiyaTcfUHklABbMIOif2zpAq.jpg,1952-01-01,Moti Mahal,False,0.0,0,,India,1952,1,1,1950,"Based on the title, overview, and keywords, I would classify the movie ""Moti Mahal"" under **Institutional & Structural Control**.

The fear at the core of this film appears to be the manipulation and control exerted by the palace's systems and hierarchies. The disappearance of Sudhir, the vanishing of the Vakil, and the mysterious events that unfold suggest a web of intrigue and power struggles within the palace. This classification fits because the menace is not driven by an external or uncanny presence (human or inhuman), but rather by the internal workings of the palace's social structure.

The film seems to explore themes of family legacy, inheritance, and the consequences of playing with forces beyond one's control. The title ""Moti Mahal"" itself implies a sense of grandeur and power, which is further reinforced by the description of the palace as a place where ""ghastly memories make people shiver with fear."" This suggests that the true horror lies not in any supernatural or paranormal elements, but rather in the dark secrets and manipulations that lurk beneath the surface of the palace's institutional structures.",Institutional & Structural Control
False,,"[27, 878, 10770]",1223291,en,Frankenstein,"Dr. Victor Frankenstein, working in a castle on a remote Swiss island, attempts to create a perfect man but his resultant creation turns out to be a murderous beast who must be destroyed.",0.0714,https://image.tmdb.org/t/p/original/e284iS7CKAPt9HcVyWhMpVFnIyB.jpg,1952-01-18,Frankenstein,False,10.0,2,,,1952,1,18,1950,"Based on the title, overview, and keywords, I would classify ""Frankenstein"" under **Body Horror**.

The fear at the core of this film is the bodily invasion and transformation caused by Dr. Frankenstein's creation, which results in a monstrous being that must be destroyed. The horror stems from the forced metamorphosis and dismemberment of the creature, compromising its body's boundaries. This classification fits as the transformation is inflicted, not the result of infection or contagion.

While there are themes of creation, responsibility, and the dangers of playing God, these elements do not primarily drive the horror sequences in this film. The primary fear is the bodily invasion and transformation caused by Dr. Frankenstein's experiment, which makes **Body Horror** the most fitting category.",Body Horror
False,,"[18, 10749, 27]",1377064,cn,烛影照魂归,"As the wealthy Ha Mung Shan nears death, he asks his son, Chung Ping, to marry his fiancée, Ng Yuk Keng. However, Yuk Keng loves Chung Ping’s brother, Bo Ming. To avoid upsetting his father, Chung Ping pretends that a singer, Su Qiu, is Yuk Keng and brings her home. Meanwhile, Yuk Keng’s aunt, Xing Hong, covets her father’s inheritance and attempts to kill Su Qiu, framing Chung Ping. Su Qiu survives, cared for by the Fu family. Later, Xing Hong kills Yuk Keng to live with Bo Ming, but he refuses. Taking the inheritance, Xing Hong stays with the Fu family and regrets her actions. Ha Mung Shan then arranges a new marriage for Chung Ping. Su Qiu, seeking revenge, disguises herself as a ghost on the wedding night, exposing the truth. Bo Ming confronts Chung Ping, and Xing Hong confesses her guilt. Mung Shan realizes Bo Ming is his son, and Chung Ping reunites with Su Qiu, leading to a happy ending.",0.0379,https://image.tmdb.org/t/p/original/6JKBXXTrhJvaNJLNoOQlKZ7DluY.jpg,1952-05-01,The Resentful Woman Returns,False,0.0,0,,Hong Kong,1952,5,1,1950,"Based on the title, overview, and keywords, I would classify ""The Resentful Woman Returns"" under **Grief & Familial Trauma**.

The primary fear in this film appears to be rooted in loss, inheritance, and haunted domestic bonds. The story revolves around Su Qiu's desire for revenge against those who wronged her, which is driven by a sense of injustice and betrayal. The film explores themes of family legacy, guilt, and the consequences of one's actions.

While there are elements of deception, framing, and attempted murder, these plot points serve as a backdrop to the core horror: Su Qiu's ghostly reappearance and her quest for revenge. This fear is deeply connected to the characters' relationships with each other and their past experiences, making it a prime example of Grief & Familial Trauma.

The other categories don't seem to fit as well:

* Invasion & Paranoia: There is no external or uncanny presence that drives the horror.
* Persecution & Social Breakdown: The social decay is not the primary focus; instead, it's a consequence of individual actions and family dynamics.
* Institutional & Structural Control: There is no systemic domination or engineered loss of agency.
* Possession & Loss of Agency: Su Qiu's ghostly reappearance is not driven by demonic or psychological forces.
* Captivity & Voyeuristic Sadism: There is no intentional, sadistic captor or coercive ""game"" design.
* Contagion & Mutation: No non-sentient agents are involved in the transformation of characters.
* Body Horror: No bodily invasion, forced metamorphosis, or technological intrusion occurs.
* Ecological / Natural Menace: Nature is not hostile in this film.
* Isolation & Psychological Unraveling: The characters' isolation and psychological unraveling are secondary to the core horror driven by grief and familial trauma.

Transgression & Moral Punishment could be a possible fit if we focus on Xing Hong's guilt and regret, but it seems that Su Qiu's ghostly reappearance is more central to the film's horror.",Grief & Familial Trauma
False,,"[18, 27]",1088454,en,Uncle Cankle da Ƙwallon Rawa,"A film following the elderly Cankle Chiyembekezo, a once skilled dancer suffering from undiagnosed arthritis. Unable to cope with his rapid deterioration, Cankle shuts himself off from the world.  The majority of the film was destroyed in a bombing raid during the Sudanese civil war, only 12 minutes of footage remain.",0.0588,https://image.tmdb.org/t/p/original/rfPHjeUjw7mbPvsgUrxwKpQa7eR.jpg,1952-05-18,Uncle Cankle and the Dancing Ankle,False,0.0,0,"depression, sad, psychological horror",Sudan,1952,5,18,1950,"Based on the title, overview, and keywords, I would classify ""Uncle Cankle and the Dancing Ankle"" under **Isolation & Psychological Unraveling**.

The film's focus on Uncle Cankle's isolation and inability to cope with his physical deterioration due to undiagnosed arthritis suggests that the primary fear is not an external threat but rather the gradual erosion of the self through loneliness, paranoia, and loss of meaning. The fact that most of the film was destroyed in a bombing raid during the Sudanese civil war adds to the sense of isolation and disconnection.

The keywords ""depression"", ""sad"", and ""psychological horror"" further support this classification, as they indicate that the film's primary concern is the psychological state of the protagonist rather than an external threat or supernatural entity.",Isolation & Psychological Unraveling
